"city","year","type","value"
"Glasgow","2001","RCI",0.163282
"Glasgow","2001","RCI",0.162735
"Glasgow","2001","RCI",0.164538
"Glasgow","2001","RCI",0.16706
"Glasgow","2001","RCI",0.165001
"Glasgow","2001","RCI",0.16273
"Glasgow","2001","RCI",0.169119
"Glasgow","2001","RCI",0.162763
"Glasgow","2001","RCI",0.162407
"Glasgow","2001","RCI",0.166016
"Glasgow","2001","RCI",0.165812
"Glasgow","2001","RCI",0.158954
"Glasgow","2001","RCI",0.162793
"Glasgow","2001","RCI",0.162143
"Glasgow","2001","RCI",0.164649
"Glasgow","2001","RCI",0.163213
"Glasgow","2001","RCI",0.165151
"Glasgow","2001","RCI",0.159902
"Glasgow","2001","RCI",0.158989
"Glasgow","2001","RCI",0.163566
"Glasgow","2001","RCI",0.16367
"Glasgow","2001","RCI",0.16395
"Glasgow","2001","RCI",0.167978
"Glasgow","2001","RCI",0.164082
"Glasgow","2001","RCI",0.16709
"Glasgow","2001","RCI",0.160736
"Glasgow","2001","RCI",0.162067
"Glasgow","2001","RCI",0.16471
"Glasgow","2001","RCI",0.158478
"Glasgow","2001","RCI",0.159854
"Glasgow","2001","RCI",0.164634
"Glasgow","2001","RCI",0.164992
"Glasgow","2001","RCI",0.162519
"Glasgow","2001","RCI",0.164066
"Glasgow","2001","RCI",0.159179
"Glasgow","2001","RCI",0.166192
"Glasgow","2001","RCI",0.165029
"Glasgow","2001","RCI",0.160515
"Glasgow","2001","RCI",0.162708
"Glasgow","2001","RCI",0.162471
"Glasgow","2001","RCI",0.164633
"Glasgow","2001","RCI",0.164289
"Glasgow","2001","RCI",0.168163
"Glasgow","2001","RCI",0.169149
"Glasgow","2001","RCI",0.166181
"Glasgow","2001","RCI",0.165986
"Glasgow","2001","RCI",0.166282
"Glasgow","2001","RCI",0.166831
"Glasgow","2001","RCI",0.164832
"Glasgow","2001","RCI",0.166945
"Glasgow","2001","RCI",0.164677
"Glasgow","2001","RCI",0.165627
"Glasgow","2001","RCI",0.165493
"Glasgow","2001","RCI",0.159358
"Glasgow","2001","RCI",0.161773
"Glasgow","2001","RCI",0.163785
