"city","year","type","value"
"London","2001","RCI",0.218366
"London","2001","RCI",0.217664
"London","2001","RCI",0.217665
"London","2001","RCI",0.217734
"London","2001","RCI",0.218262
"London","2001","RCI",0.217983
"London","2001","RCI",0.217919
"London","2001","RCI",0.217491
"London","2001","RCI",0.217474
"London","2001","RCI",0.217957
"London","2001","RCI",0.217766
"London","2001","RCI",0.218993
"London","2001","RCI",0.218131
"London","2001","RCI",0.217822
"London","2001","RCI",0.217513
"London","2001","RCI",0.217526
"London","2001","RCI",0.217843
"London","2001","RCI",0.218087
"London","2001","RCI",0.218133
"London","2001","RCI",0.217734
"London","2001","RCI",0.217303
"London","2001","RCI",0.218129
"London","2001","RCI",0.218022
"London","2001","RCI",0.218401
"London","2001","RCI",0.217703
"London","2001","RCI",0.218287
"London","2001","RCI",0.218265
"London","2001","RCI",0.217756
"London","2001","RCI",0.217878
"London","2001","RCI",0.217623
"London","2001","RCI",0.218172
"London","2001","RCI",0.218279
"London","2001","RCI",0.21803
"London","2001","RCI",0.217509
"London","2001","RCI",0.217763
"London","2001","RCI",0.218018
"London","2001","RCI",0.217726
"London","2001","RCI",0.218043
"London","2001","RCI",0.217868
"London","2001","RCI",0.217896
"London","2001","RCI",0.217739
"London","2001","RCI",0.217532
"London","2001","RCI",0.218211
"London","2001","RCI",0.218438
"London","2001","RCI",0.217428
"London","2001","RCI",0.217988
"London","2001","RCI",0.218736
"London","2001","RCI",0.218617
"London","2001","RCI",0.218438
"London","2001","RCI",0.217727
"London","2001","RCI",0.217366
"London","2001","RCI",0.218197
"London","2001","RCI",0.218074
"London","2001","RCI",0.217816
"London","2001","RCI",0.217987
"London","2001","RCI",0.217985
"London","2001","RCI",0.217736
"London","2001","RCI",0.21801
"London","2001","RCI",0.217714
"London","2001","RCI",0.218042
"London","2001","RCI",0.217958
"London","2001","RCI",0.217248
"London","2001","RCI",0.218157
"London","2001","RCI",0.218256
"London","2001","RCI",0.217548
"London","2001","RCI",0.217612
"London","2001","RCI",0.217632
"London","2001","RCI",0.218151
"London","2001","RCI",0.218184
"London","2001","RCI",0.21725
"London","2001","RCI",0.217699
"London","2001","RCI",0.217387
"London","2001","RCI",0.217363
"London","2001","RCI",0.217582
"London","2001","RCI",0.218096
"London","2001","RCI",0.217124
"London","2001","RCI",0.218132
"London","2001","RCI",0.218068
"London","2001","RCI",0.218068
"London","2001","RCI",0.218232
"London","2001","RCI",0.217716
"London","2001","RCI",0.218052
"London","2001","RCI",0.218157
"London","2001","RCI",0.218029
"London","2001","RCI",0.217963
"London","2001","RCI",0.218187
"London","2001","RCI",0.218231
"London","2001","RCI",0.218467
"London","2001","RCI",0.218322
"London","2001","RCI",0.218021
"London","2001","RCI",0.21798
"London","2001","RCI",0.217199
"London","2001","RCI",0.217892
"London","2001","RCI",0.217449
"London","2001","RCI",0.217808
"London","2001","RCI",0.21735
"London","2001","RCI",0.217804
"London","2001","RCI",0.217677
"London","2001","RCI",0.217054
"London","2001","RCI",0.218106
"London","2001","RCI",0.218302
"London","2001","RCI",0.217108
"London","2001","RCI",0.216989
"London","2001","RCI",0.217568
"London","2001","RCI",0.218197
"London","2001","RCI",0.217791
"London","2001","RCI",0.218369
"London","2001","RCI",0.218004
"London","2001","RCI",0.217826
"London","2001","RCI",0.218065
"London","2001","RCI",0.217871
"London","2001","RCI",0.217843
"London","2001","RCI",0.217804
"London","2001","RCI",0.217731
"London","2001","RCI",0.218307
"London","2001","RCI",0.217371
"London","2001","RCI",0.217909
"London","2001","RCI",0.217725
"London","2001","RCI",0.218553
"London","2001","RCI",0.21759
"London","2001","RCI",0.217606
"London","2001","RCI",0.218109
"London","2001","RCI",0.217638
"London","2001","RCI",0.218227
"London","2001","RCI",0.218214
"London","2001","RCI",0.21798
"London","2001","RCI",0.21857
"London","2001","RCI",0.218342
"London","2001","RCI",0.218758
"London","2001","RCI",0.218342
"London","2001","RCI",0.21843
"London","2001","RCI",0.218358
"London","2001","RCI",0.218177
"London","2001","RCI",0.218355
"London","2001","RCI",0.217894
"London","2001","RCI",0.218534
"London","2001","RCI",0.218136
"London","2001","RCI",0.217798
"London","2001","RCI",0.217784
"London","2001","RCI",0.217646
"London","2001","RCI",0.217667
"London","2001","RCI",0.217197
"London","2001","RCI",0.217323
"London","2001","RCI",0.217248
"London","2001","RCI",0.21751
"London","2001","RCI",0.217099
"London","2001","RCI",0.217526
"London","2001","RCI",0.217903
"London","2001","RCI",0.217977
"London","2001","RCI",0.217434
"London","2001","RCI",0.218259
"London","2001","RCI",0.218354
"London","2001","RCI",0.217822
"London","2001","RCI",0.217195
"London","2001","RCI",0.217971
"London","2001","RCI",0.217687
"London","2001","RCI",0.217681
"London","2001","RCI",0.217531
"London","2001","RCI",0.217939
"London","2001","RCI",0.217825
"London","2001","RCI",0.217912
"London","2001","RCI",0.217896
"London","2001","RCI",0.217597
"London","2001","RCI",0.217527
"London","2001","RCI",0.21787
"London","2001","RCI",0.218359
"London","2001","RCI",0.218365
"London","2001","RCI",0.218107
"London","2001","RCI",0.217819
"London","2001","RCI",0.217856
"London","2001","RCI",0.217568
"London","2001","RCI",0.217491
"London","2001","RCI",0.218393
"London","2001","RCI",0.217927
"London","2001","RCI",0.217894
"London","2001","RCI",0.218627
"London","2001","RCI",0.218263
"London","2001","RCI",0.218173
"London","2001","RCI",0.218112
"London","2001","RCI",0.218822
"London","2001","RCI",0.217921
"London","2001","RCI",0.217444
"London","2001","RCI",0.217562
"London","2001","RCI",0.218176
"London","2001","RCI",0.218336
"London","2001","RCI",0.218121
"London","2001","RCI",0.218103
"London","2001","RCI",0.218512
"London","2001","RCI",0.218316
"London","2001","RCI",0.217418
"London","2001","RCI",0.217556
"London","2001","RCI",0.218272
"London","2001","RCI",0.21831
"London","2001","RCI",0.21795
"London","2001","RCI",0.217746
"London","2001","RCI",0.217762
"London","2001","RCI",0.217699
"London","2001","RCI",0.217904
"London","2001","RCI",0.217869
"London","2001","RCI",0.217904
"London","2001","RCI",0.217828
"London","2001","RCI",0.217856
"London","2001","RCI",0.217946
"London","2001","RCI",0.217833
"London","2001","RCI",0.218128
"London","2001","RCI",0.218117
"London","2001","RCI",0.217922
"London","2001","RCI",0.217752
"London","2001","RCI",0.21737
"London","2001","RCI",0.218266
"London","2001","RCI",0.218528
"London","2001","RCI",0.218026
"London","2001","RCI",0.217812
"London","2001","RCI",0.218076
"London","2001","RCI",0.218221
"London","2001","RCI",0.217896
"London","2001","RCI",0.218067
"London","2001","RCI",0.218085
"London","2001","RCI",0.217841
"London","2001","RCI",0.217849
"London","2001","RCI",0.21813
"London","2001","RCI",0.217535
"London","2001","RCI",0.217496
"London","2001","RCI",0.217502
"London","2001","RCI",0.218011
"London","2001","RCI",0.217835
"London","2001","RCI",0.217719
"London","2001","RCI",0.21833
"London","2001","RCI",0.2177
"London","2001","RCI",0.217846
"London","2001","RCI",0.218334
"London","2001","RCI",0.217885
"London","2001","RCI",0.217552
"London","2001","RCI",0.218778
"London","2001","RCI",0.218008
"London","2001","RCI",0.217321
"London","2001","RCI",0.21796
"London","2001","RCI",0.217411
"London","2001","RCI",0.217756
"London","2001","RCI",0.21765
"London","2001","RCI",0.217923
"London","2001","RCI",0.218251
"London","2001","RCI",0.217485
"London","2001","RCI",0.218359
"London","2001","RCI",0.217533
"London","2001","RCI",0.217611
"London","2001","RCI",0.217828
"London","2001","RCI",0.218211
"London","2001","RCI",0.217436
"London","2001","RCI",0.218428
"London","2001","RCI",0.217966
"London","2001","RCI",0.217354
"London","2001","RCI",0.217578
"London","2001","RCI",0.218275
"London","2001","RCI",0.217993
"London","2001","RCI",0.217909
